run_id,primitive_id,primitive_name,sem,scope,block_size,dtype,src_rank,dst_rank,buffer_bytes,n_elements,rep_idx,time_ms,bandwidth_gibps,world_size,gpu_arch,hostname,ts_unix
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,3,0.377177,82.8523,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,4,0.379863,82.2665,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,5,0.375894,83.1351,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,6,0.377858,82.7030,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,7,0.378620,82.5366,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,8,0.380184,82.1970,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,9,0.378660,82.5279,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,10,0.376495,83.0024,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,11,0.375333,83.2594,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,12,0.379181,82.4145,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,13,0.376174,83.0733,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,14,0.374290,83.4914,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
