row_id,timestamp,gpu,dcc_mode,ordering,block,wgp,rep,mean_us,std_us,atomic_gops_s,tcc_dcc_hit,tcc_dcc_miss,tcp_tcc_atomic_req,sq_wait_proxy,status
152,1778532409.5617042,gfx942,dcc_disabled,RELAXED,128,64,1,23.2988,2.0169,0.3516,0,0,8192,2329,ok
153,1778532409.56259,gfx942,dcc_disabled,RELAXED,128,64,2,22.5852,2.2397,0.3627,0,0,8192,2258,ok
154,1778532409.5634632,gfx942,dcc_disabled,RELAXED,128,64,3,23.0542,1.6524,0.3553,0,0,8192,2305,ok
155,1778532409.5643451,gfx942,dcc_disabled,RELAXED,128,64,4,23.2729,2.0302,0.3520,0,0,8192,2327,ok
156,1778532409.5652204,gfx942,dcc_disabled,RELAXED,128,64,5,22.3106,1.4626,0.3672,0,0,8192,2231,ok
157,1778532409.5660777,gfx942,dcc_disabled,RELAXED,128,64,6,22.9179,1.7883,0.3574,0,0,8192,2291,ok
158,1778532409.5669487,gfx942,dcc_disabled,RELAXED,128,64,7,22.8238,1.5793,0.3589,0,0,8192,2282,ok
159,1778532409.5678222,gfx942,dcc_disabled,RELAXED,128,64,8,23.3950,1.8252,0.3502,0,0,8192,2339,ok
160,1778532409.5686991,gfx942,dcc_disabled,RELAXED,128,64,9,23.1806,1.7959,0.3534,0,0,8192,2318,ok
161,1778532409.5695732,gfx942,dcc_disabled,RELAXED,128,64,10,22.5311,1.3060,0.3636,0,0,8192,2253,ok
162,1778532409.5704536,gfx942,dcc_disabled,RELAXED,128,64,11,23.0363,1.8024,0.3556,0,0,8192,2303,ok
163,1778532409.5713568,gfx942,dcc_disabled,RELAXED,128,64,12,22.5812,1.6344,0.3628,0,0,8192,2258,ok
164,1778532409.5722663,gfx942,dcc_disabled,RELAXED,128,64,13,23.3630,1.5721,0.3506,0,0,8192,2336,ok
165,1778532409.5731788,gfx942,dcc_disabled,RELAXED,128,64,14,22.9881,1.5767,0.3564,0,0,8192,2298,ok
166,1778532409.5740778,gfx942,dcc_disabled,RELAXED,128,64,15,23.3409,1.4279,0.3510,0,0,8192,2334,ok
167,1778532409.5749888,gfx942,dcc_disabled,RELAXED,128,64,16,22.9601,1.3639,0.3568,0,0,8192,2296,ok
168,1778532409.5758796,gfx942,dcc_disabled,RELAXED,128,64,17,22.9821,2.6742,0.3565,0,0,8192,2298,ok
169,1778532409.5767703,gfx942,dcc_disabled,RELAXED,128,64,18,23.0203,2.7220,0.3559,0,0,8192,2302,ok
170,1778532409.57766,gfx942,dcc_disabled,RELAXED,128,64,19,23.2728,2.5274,0.3520,0,0,8192,2327,ok
171,1778532409.5785596,gfx942,dcc_disabled,RELAXED,128,64,20,22.6735,2.0957,0.3613,0,0,8192,2267,ok
