corpus_version,prim,K,N_PROD,N_OPS,rep,us,gpu_arch,node,ts_utc,timer
v45,N3,4,4,32,20,39.2890,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,21,37.5250,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,22,38.8480,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,23,36.8040,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,24,35.8010,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,25,34.6390,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,26,37.6460,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,27,37.3250,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,28,35.0000,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,29,37.4050,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,30,36.7230,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,31,35.6810,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,32,37.4050,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,33,36.6840,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,34,41.6950,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,35,37.4050,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,36,39.4500,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,37,37.2050,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,38,40.2520,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,39,37.0840,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,40,39.0090,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,41,40.7330,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,42,39.9310,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,43,36.0420,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
v45,N3,4,4,32,44,39.1690,gfx942,b21u01,2026-05-11T07:06:03.004150+00:00,cuda_event
